"genotype","GS39","GS55","GS65","FLS","SH","OEW","SM","r3"
"Alchemy-1A",124,129,141.5,171,46.75,45.9,2,42
"Avalon",125,136,147,160,51.5,42.5,2,24
"Brompton-1A",131,140,150,181,49.25,37.55,1.5,41
"Cadenza",105,108.5,129,154,62.75,47.95,1,45.5
"Claire-4",120,125.5,136,159,41.5,40.9,0,33.5
"Hereward-1A",131,140.5,163.5,182,50.25,29.05,2,41.5
"KWS Santiago",128.5,138.5,146.5,171,54.5,41.7,1,32.5
"Rialto-4",130,139.5,151,180,64.5,38.2,0.5,40.5
"Robigus-1",125,138.5,146.5,170.5,41.25,32.2,1.5,32
"Soissons-1",112,119.5,129,155,50.75,43.8,0.5,35.5
"Xi-19-1",106,112.5,129,150,50.75,41.5,2,37.5
"Zircon",106.5,117.5,134.5,154,55,52.65,0,36.5
"MEL 001-1a",124,133.5,140,171,68.5,55.25,2.5,37.5
"MEL 002-1",133,145.5,174,188,46,36.3,0.5,42.5
"MEL 003-1a",124,131,137,166,42.25,35.8,3.5,35
"MEL 004-1",126,135,143,173,66.25,51.3,0,38
"MEL 005-1",145.5,157.5,173,199.5,25.75,15.2,1,42
"MEL 006-1",125,133,145,160,53.25,40.3,2,27
"MEL 007-1a",131,139.5,147.5,181.5,46.75,39.95,0.5,42
"MEL 008-1",127.5,135,160,174.5,48.75,41.4,1,39.5
"MEL 009a-1",133,143.5,147.5,182,51.25,38.45,1,38.5
"MEL 010-1a",123,129,139,155,61,46,3,26
"MEL 011-1a",134.5,143.5,152,178.5,51.25,34.65,2,35
"MEL 012-1b",131,142,151,172,48.75,32.45,2,30
"MEL 013-1a",129.5,138.5,146.5,184,38.75,32.55,1,45.5
"MEL 014-2",127.5,138.5,145,162,73,48.75,1,23.5
"MEL 015-2",125,133,143,159,81.75,51.35,4,26
"MEL 016-1",128.5,138.5,147.5,162.5,50.25,37.5,1.5,24
"MEL 017-2",135.5,147.5,162.5,189,47,27.3,0.5,41.5
"MEL 018-1",128.5,141,164,176.5,63.5,49.5,1,35.5
"MEL 019-1a",132,142,150.5,171,66.25,44.9,2.5,29
"MEL 020-1",122.5,133,137,150,56,47.95,1,17
"MEL 021-1",106.5,112.5,129,150,51.25,29.7,2.5,37.5
"MEL 022-1c",124,132,141.5,154,41.75,42.15,2,22
"MEL 023-1",126,132.5,141.5,171,72,55,2,38.5
"MEL 024-1",132,140.5,151.5,179.5,56.25,30.95,2,39
"MEL 025-1a",121.5,126.5,134.5,168.5,45.25,32.9,1.5,42
"MEL 026-1b",127.5,140,147.5,173,48.75,28.2,0.5,33
"MEL 027-1e",126.5,136,144,164.5,82.25,40.8,2,28.5
"MEL 028-1c",123,130.5,138,168.5,68.5,44.9,3,38
"MEL 029-1c",134,144.5,152.5,185.5,85.25,47,0.5,41
"MEL 030-1a",139,150.5,158,180,52.75,34.8,0,29.5
"MEL 031-1b",126,137.5,144,165.5,64,46.2,1.5,28
"MEL 032-1",124.5,137.5,146.5,166,67.25,44.65,1.5,28.5
"MEL 033-1-A",124,131.5,138,173,50,36.35,1.5,41.5
"MEL 034-4",126,136,146.5,166,44,38.15,0.5,30
"MEL 035-1",121.5,127,132.5,158,53,39.1,1.5,31
"MEL 036-1b",132,143,155,172,66.5,50.25,1,29
"MEL 037-1a",123.5,133.5,141.5,165.5,90.25,59.1,2,32
"MEL 038-1a",124.5,136.5,146.5,175,32.5,28.25,1.5,38.5
"MEL 039-1a",124,132.5,143,165.5,72,51.9,0,33
"MEL 040-1c",132,143,150.5,171,53,45.65,0.5,28
"MEL 040-2b",128.5,137,146,160,46.5,34.75,3,23
"MEL 040-2c",130.5,145,152.5,171,62,41.5,2.5,26
"MEL 041-1a",127,137,145,170.5,47,35.25,0,33.5
"MEL 042-1b",128.5,140,158,168.5,46,43.4,1.5,28.5
"MEL 043-1",131,142,152,182,61,46.6,2,40
"MEL 044a-1",127,136,146.5,165.5,43,31.35,2,29.5
"MEL 045-1a",121.5,130.5,138,150,54.5,32.35,3,19.5
"MEL 046-1",126,135,144,169,53,39.5,2,34
"MEL 046-7",119.5,131,145,150,64,45.1,2,19
"MEL 048-1a",122.5,127,134.5,151,49.5,36.35,2,24
"MEL 049-2",128.5,136,144,164,48,38.25,2,28
"MEL 050-1",118,122.5,129.5,156,43.5,34.1,1.5,33.5
"MEL 051-1c",121.5,129.5,140.5,160.5,63.5,29.95,1.5,31
"MEL 052-1",116,123.5,133.5,152,63.75,49.45,1.5,28.5
"MEL 053-1a",125,135,144,160,43,26.45,0.5,25
"MEL 054-1",125.5,130,143.5,150,33.25,28.7,1,20
"MEL 055-1a",128.5,138.5,147,165.5,66.25,38.15,3,27
"MEL 056-1",129.5,134,145,170.5,55,50.05,1.5,36.5
"MEL 057-1a",133.5,142,151.5,178.5,42.75,26.6,2,36.5
"MEL 058-1",128.5,138.5,146.5,178,76.25,38.55,0,39.5
"MEL 059-1a",125,132.5,138,167.5,41.25,28.65,2,35
"MEL 060-1a",129.5,139.5,148.5,176.5,79.25,51.45,0,37
"MEL 061-1",104,111.5,129,148.5,45.25,34.45,1.5,37
"MEL 062-1a",128.5,136.5,144,175,50.25,39.75,1.5,38.5
"MEL 063a-1",125,130.5,139,169,32.5,31.9,1.5,38.5
"MEL 064-1a",122.5,131.5,139.5,152,55,44,3,20.5
"MEL 065-1b",126,135,142.5,166.5,52.25,38.6,2.5,31.5
"MEL 066-1a",135.5,148,157,187.5,49.75,30.5,0.5,39.5
"MEL 070-1a",122.5,130,140.5,164.5,50.5,41.05,0.5,34.5
"MEL 071-1a",127,136,145,158,65.25,44.95,2,22
"MEL 072-1a",135.5,148,156,182.5,55.5,35.35,1,34.5
"MEL 073-1",133.5,143.5,154,180,55.25,40.65,2,36.5
"MEL 074-1",130,143.5,147.5,166.5,50.75,34.35,0.5,23
"MEL 075-1a",128.5,136,140.5,165,48.5,37.75,1,29
"MEL 076-1c",126,134.5,144,159,53.25,41.1,2,24.5
"MEL 077-3",130.5,138.5,148.5,186.5,57.5,37,0.5,48
"MEL 078-1bA",127.5,133.5,150.5,163,47.25,37.4,2,29.5
"MEL 081-1a",129.5,142,164.5,173,65,44.35,0.5,31
"MEL 082-1a",123.5,135,142.5,168.5,83.25,55.35,1.5,33.5
"MEL 083-1",122.5,131,143,168,57.5,46.7,1,37
"MEL 084-1",124,131,138,170.5,43.5,37.45,1,39.5
"MEL 085-1b",127,137,146,163,55,31.85,2,26
"MEL 086-1",141,152,166,171,26,22.7,2,19
"MEL 087-1a",116.5,129,141.5,168.5,51.5,41.8,3.5,39.5
"MEL 088-1",121.5,120,132,150,46.5,32.35,0,30
"MEL 089-1a",127.5,129,148,159,78.5,60.25,1.5,30
"MEL 090-1a",127.5,136,147,180,43.5,43,1,44
"MEL 091-1a",122.5,129,134.5,177.5,31,18.25,3.5,48.5
"MEL 092-1",125,135,164.5,173,36,38.3,1,38
"MEL 093-1",129.5,143,154,184,47.75,36.4,0.5,41
"MEL 094-1c",143.5,156.5,163,201,54.5,33.9,0,44.5
"MEL 095-1",135.5,148.5,156,191.5,44.5,31.85,1.5,43
"MEL 096-1a",116.5,122,133.5,159,57.5,52.3,2,37
"MEL 097-1",109,117.5,126.5,162,55.75,39.85,1.5,44.5
"MEL 098-1",121.5,130,143,157,58.25,47.45,1,27
"MEL 099-2",126,136,145,166,60,48.8,1.5,30
"MEL 100-1a",122.5,128,141.5,163,61.25,46.9,3.5,35
"MEL 101-1",130,141,148.5,173,58.75,47.5,1,32
"MEL 102-1",104,121,147,150,54.75,41.5,0.5,29
"MEL 103-1",129.5,141.5,154,175,44.25,35.75,1,33.5
"MEL 104-1",121.5,128,138,168.5,37.5,29,0,40.5
"MEL 104-2",108.5,120,129.5,150,33.5,46.8,1,30
"MEL 105-1",132,142.5,155,163,49.5,41.15,1,20.5
"MEL 106a-1",124,133.5,142.5,168.5,68.75,44.2,1,35
"MEL 107-1a",127.5,137,145,178,53,46.65,1,41
"MEL 108-1",128.5,139,151,194.5,42.25,33,0,55.5
"MEL 109-1",118,124.5,133.5,171,50.25,36.65,0.5,46.5
"MEL 110-1a",128.5,142,155,180,47.25,37.35,1,38
"MEL 111-1",132,142,155,185.5,58.75,15.45,2,43.5
"MEL 112-1a",127,136,147,173,49,26.1,1,37
"MEL 113-1a",128.5,137,146.5,160,48.5,30,2,23
"MEL 114-1",123,133.5,144,176.5,52.5,41.4,1,43
"MEL 115-1",133.5,143,154,182.5,73,41.75,0.5,39.5
"MEL 116-2",122.5,129.5,139.5,155,57.5,32.05,4,25.5
"MEL 117-2",118,123,132.5,163,61.25,36.25,1.5,40
"MEL 118-1a",136.5,149,159,173,60.75,32.45,2.5,24
"MEL 119-1",123,131,136.5,176.5,37.25,29.95,2,45.5
"MEL 120-3",126,134.5,141.5,173,45.25,32.4,1.5,38.5
"MEL 121-1a",131,142,152,178,62.75,36.85,1.5,36
"MEL 122-1a",132,140.5,145,175.5,53.25,36.05,1,35
"MEL 123-1",117,125.5,133.5,165,55.75,45.9,1.5,39.5
"MEL 124-2",119.5,126.5,137.5,170.5,69.5,54.65,1.5,44
"MEL 125-1b",139,149,163,200,26.75,29.05,0,51
"MEL 126-1",135.5,145.5,161.5,187,36,26.85,1.5,41.5
"MEL 127-1a",118,125.5,131,159,58.5,49.45,0.5,33.5
"MEL 128-1",123,130.5,136.5,171,53.25,46.45,1.5,40.5
"MEL 129-1",109,117,133.5,159,49.75,45.1,2,42
"MEL 130-1",118,123.5,136.5,172,63.75,31.45,1.5,48.5
